plural,male,female,title,male_eng,female_eng,male_cnt,female_cnt
Богалдины,Богалдин,Богалдина,3,bogaldin,bogaldina,0,-
Богалдин-Таишевы,Богалдин-Таишев,Богалдина-Таишева,6,bogaldin-taishev,bogaldina-taisheva,-,-
Б.-Темшев,Б.-Темшев,Б.-Темшева,6,b.-temshev,b.-temsheva,-,-
Богатовы,Богатов,Богатова,2,bogatov,bogatova,7393,7874
Богатыревы,Богатырев,Богатырева,2,bogatyrev,bogatyreva,10041,10164
Богдановы,Богданов,Богданова,1,bogdanov,bogdanova,84428,98053
Багданов,Багданов,Багданова,3,bagdanov,bagdanova,1415,845
Богдзевич,Богдзевич,Богдзевич,6,bogdzevich,bogdzevich,22,22
Богенгардт,Богенгардт,Богенгардт,2,bogengardt,bogengardt,-,-
Богенгард,Богенгард,Богенгард,2,bogengard,bogengard,-,-
Боголеповы,Боголепов,Боголепова,3,bogolepov,bogolepova,666,811
Боголюбовы,Боголюбов,Боголюбова,1,bogoljubov,bogoljubova,0,0
Боголюбские,Боголюбский,Боголюбская,3,bogoljubsky,bogoljubskaya,0,-
Боголюдские,Боголюдский,Боголюдская,3,bogoljudsky,bogoljudskaya,-,-
Боголюдов,Боголюдов,Боголюдова,3,bogoljudov,bogoljudova,-,-
Богомоловы,Богомолов,Богомолова,2,bogomolov,bogomolova,18628,19650
Богомеевы?,Богомеевы,Богомеевы,2,bogomeevy,bogomeevy,-,-
Богородские,Богородский,Богородская,2,bogorodsky,bogorodskaya,546,672
Богославские,Богославский,Богославская,3,bogoslavsky,bogoslavskaya,1494,1144
Богословские,Богословский,Богословская,2,bogoslovsky,bogoslovskaya,1558,2106
Богоявленские,Богоявленский,Богоявленская,3,bogoyavlensky,bogoyavlenskaya,538,758
Богуславские,Богуславский,Богуславская,3,boguslavsky,boguslavskaya,788,951
Боде,Боде,Боде,3,bode,bode,32,32
Бодиско,Бодиско,Бодиско,3,bodisko,bodisko,7,7
Бойко,Бойко,Бойко,2,boyko,boyko,85392,85392
Бокард,Бокард,Бокард,2,bokard,bokard,-,-
Боковы,Боков,Бокова,2,bokov,bokova,12737,9856
Болговские,Болговский,Болговская,2,bolgovsky,bolgovskaya,-,1
Бологовские,Бологовский,Бологовская,2,bologovsky,bologovskaya,4,2
Болкошин,Болкошин,Болкошина,6,bolkoshin,bolkoshina,-,-
Болкашин,Болкашин,Болкашина,6,bolkashin,bolkashina,-,-
Болотин,Болотин,Болотина,3,bolotin,bolotina,3387,3413
Болотов,Болотов,Болотова,6,bolotov,bolotova,14255,13899
Болховитины,Болховитин,Болховитина,3,bolkhovitin,bolkhovitina,325,367
Больман,Больман,Больман,3,bolman,bolman,7,7
Фон-Бонценталь,Фон-Бонценталь,Фон-Бонценталь,3,fon-bontsental,fon-bontsental,-,-
Большевы,Большев,Большева,6,bolshev,bolsheva,281,340
Большие,Больший,Большая,3,bolshy,bolshaya,-,222
Бом,Бом,Бом,2,bom,bom,6,6
Бонины,Бонин,Бонина,2,bonin,bonina,282,323
Боргман,Боргман,Боргман,3,borgman,borgman,4,4
Борде,Борде,Борде,3,borde,borde,2,2
Борденав,Борденав,Борденав,1,bordenav,bordenav,0,0
Борденов,Борденов,Борденова,1,bordenov,bordenova,2,7
Борденоу,Борденоу,Борденоу,1,bordenou,bordenou,-,-
Борденау,Борденау,Борденау,1,bordenau,bordenau,-,-
Борзовы,Борзов,Борзова,1,borzov,borzova,5261,4005
Борисовы,Борисов,Борисова,2,borisov,borisova,119232,137971
Борматовы,Борматов,Борматова,2,bormatov,bormatova,132,143
Боровиков,Боровиков,Боровикова,3,borovikov,borovikova,7310,10474
Боровитиновы,Боровитинов,Боровитинова,2,borovitinov,borovitinova,23,-
Бородины,Бородин,Бородина,2,borodin,borodina,35187,45543
Бороздины,Бороздин,Бороздина,2,borozdin,borozdina,3559,3070
Борос,Борос,Борос,3,boros,boros,7,7
Бортфельды,Бортфельд,Бортфельд,2,bortfeld,bortfeld,0,0
Боруцкие,Боруцкий,Боруцкая,1,borutsky,borutskaya,13,47
Борщовы,Борщов,Борщова,3,borschov,borschova,78,76
Бочечкаровы,Бочечкаров,Бочечкарова,2,bochechkarov,bochechkarova,-,-
Богечкаровы,Богечкаров,Богечкарова,2,bogechkarov,bogechkarova,-,-
Бояркины,Бояркин,Бояркина,3,boyarkin,boyarkina,6364,6042
Боярский,Боярский,Боярская,3,boyarsky,boyarskaya,2020,3007
Бражниковы,Бражников,Бражникова,2,brazhnikov,brazhnikova,5895,8480
Брандорф,Брандорф,Брандорф,3,brandorf,brandorf,7,7
Брандштетер,Брандштетер,Брандштетер,3,brandshteter,brandshteter,0,0
Брасс,Брасс,Брасс,2,brass,brass,2,2
Брауншвейг,Брауншвейг,Брауншвейг,2,braunshveyg,braunshveyg,5,5
Бреверн,Бреверн,Бреверн,3,brevern,brevern,8,8
Бредихины,Бредихин,Бредихина,3,bredikhin,bredikhina,4519,4386
Бреннер,Бреннер,Бреннер,3,brenner,brenner,227,227
Бретшнейдеры,Бретшнейдер,Бретшнейдер,1,bretshneyder,bretshneyder,-,-
Брещинские,Брещинский,Брещинская,6,breschinsky,breschinskaya,0,-
Бридаль,Бридаль,Бридаль,3,bridal,bridal,0,0
Бридель,Бридель,Бридель,3,bridel,bridel,51,51
Бридилл,Бридилл,Бридилл,3,bridill,bridill,-,-
Бриль,Бриль,Бриль,3,bril,bril,1015,1015
Брин,Брин,Брина,3,brin,brina,275,0
Фон-Брина,Фон-Брина,Фон-Брина,3,fon-brina,fon-brina,-,-
Броккер,Броккер,Броккер,3,brokker,brokker,2,2
Брокер,Брокер,Брокер,3,broker,broker,0,0
Броневский,Броневский,Броневская,6,bronevsky,bronevskaya,12,83
Броссе,Броссе,Броссе,2,brosse,brosse,2,2
Бруннер,Бруннер,Бруннер,3,brunner,brunner,7087,7087
Бруханские,Бруханский,Бруханская,3,brukhansky,brukhanskaya,20,10
Брушлинский,Брушлинский,Брушлинская,2,brushlinsky,brushlinskaya,4,8
Брызгаловы,Брызгалов,Брызгалова,1,bryzgalov,bryzgalova,4063,4425
Брыкины,Брыкин,Брыкина,3,brykin,brykina,1276,1387
Брюзгины,Брюзгин,Брюзгина,1,brjuzgin,brjuzgina,-,-
Брюсовы,Брюсов,Брюсова,3,brjusov,brjusova,-,-
Бубы,Буб,Буб,3,bub,bub,98,98
Буба,Буба,Буба,3,buba,buba,410,410
Бугаевы,Бугаев,Бугаева,3,bugaev,bugaeva,8743,7949
Бугайские,Бугайский,Бугайская,2,bugaysky,bugayskaya,35,22
Бударовы,Бударов,Бударова,2,budarov,budarova,259,284
Будберг,Будберг,Будберг,3,budberg,budberg,9,9
Будищев,Будищев,Будищева,2,budischev,budischeva,24,81
Будрины,Будрин,Будрина,3,budrin,budrina,360,430
Буевы,Буев,Буева,2,buev,bueva,598,2065
Буемские,Буемский,Буемская,3,buemsky,buemskaya,-,-
Бужбецкие,Бужбецкий,Бужбецкая,2,buzhbetsky,buzhbetskaya,0,2
Бужинские,Бужинский,Бужинская,3,buzhinsky,buzhinskaya,449,534
Букалов,Букалов,Букалова,6,bukalov,bukalova,388,503
Букины,Букин,Букина,3,bukin,bukina,11315,11684
Булавкины,Булавкин,Булавкина,2,bulavkin,bulavkina,846,1258
Буланины,Буланин,Буланина,6,bulanin,bulanina,97,91
Булгаковы,Булгаков,Булгакова,2,bulgakov,bulgakova,17605,19672
Булушевы,Булушев,Булушева,4,bulushev,bulusheva,202,234
Булыгины,Булыгин,Булыгина,2,bulygin,bulygina,7888,8869
Булыгинские,Булыгинский,Булыгинская,3,bulyginsky,bulyginskaya,-,-
Булычев,Булычев,Булычева,6,bulychev,bulycheva,4635,9137
Бумский,Бумский,Бумская,3,bumsky,bumskaya,-,1
Бунаки,Бунаки,Бунаки,3,bunaki,bunaki,0,0
Бунак,Бунак,Бунак,3,bunak,bunak,175,175
Бунге,Бунге,Бунге,3,bunge,bunge,5,5
Бунин,Бунин,Бунина,6,bunin,bunina,5278,4997
Бураковы,Бураков,Буракова,2,burakov,burakova,6444,7364
Бурдуков,Бурдуков,Бурдукова,6,burdukov,burdukova,969,993
Бурковские,Бурковский,Бурковская,2,burkovsky,burkovskaya,816,969
Бурнашев,Бурнашев,Бурнашева,2,burnashev,burnasheva,1672,1936
Бурцевы,Бурцев,Бурцева,2,burtsev,burtseva,13506,14416
Бурцевич,Бурцевич,Бурцевич,2,burtsevich,burtsevich,10,10
Бурцовы,Бурцов,Бурцова,3,burtsov,burtsova,36,59
Бусиновы,Бусинов,Бусинова,3,businov,businova,9,12
Буслаевы,Буслаев,Буслаева,3,buslaev,buslaeva,3206,3270
Буткевичи,Буткевич,Буткевич,6,butkevich,butkevich,1576,1576
Буторьины,Буторьин,Буторьина,3,butorin,butorina,6640,8489
Буторгины,Буторгин,Буторгина,3,butorgin,butorgina,-,-
Буттацы,Буттац,Буттац,3,buttats,buttats,-,-
Буттер,Буттер,Буттер,3,butter,butter,0,0
Бутте,Бутте,Бутте,3,butte,butte,8,8
Бутурлины,Бутурлин,Бутурлина,4,buturlin,buturlina,169,194
Батурлины,Батурлин,Батурлина,5,baturlin,baturlina,19,21
Бухаревы,Бухарев,Бухарева,3,bukharev,bukhareva,877,908
Бухвостовы,Бухвостов,Бухвостова,2,bukhvostov,bukhvostova,307,132
Бухольцы,Бухольц,Бухольц,2,bukholts,bukholts,84,84
Буце,Буце,Буце,2,butse,butse,0,0
Буцевичи,Буцевич,Буцевич,2,butsevich,butsevich,4,4
Буши,Буши,Буши,1,bushi,bushi,3,3
Буш,Буш,Буш,1,bush,bush,17,17
Буше,Буше,Буше,2,bushe,bushe,60,60
Бушера,Бушера,Бушера,3,bushera,bushera,0,0
Бушины,Бушин,Бушина,3,bushin,bushina,2161,3087
Бушуевы,Бушуев,Бушуева,3,bushuev,bushueva,11724,13138
Быковы,Быков,Быкова,1,bykov,bykova,60890,61546
Быковские,Быковский,Быковская,3,bykovsky,bykovskaya,5736,4160
Былеев,Былеев,Былеева,1,byleev,byleeva,25,12
Былеев-Успенский,Былеев-Успенский,Былеева-Успенская,1,byleev-uspensky,byleeva-uspenskaya,-,-
Быстровы,Быстров,Быстрова,3,bystrov,bystrova,16248,17694
Быстряков,Быстряков,Быстрякова,3,bystryakov,bystryakova,518,583
Быховцевы,Быховцев,Быховцева,6,bykhovtsev,bykhovtseva,99,75
Бычков,Бычков,Бычкова,3,bychkov,bychkova,24997,28390
Бюлов,Бюлов,Бюлова,5,bjulov,bjulova,-,-
Вагнеры,Вагнер,Вагнер,2,vagner,vagner,10060,10060
Вадбольские,Вадбольский,Вадбольская,5,vadbolsky,vadbolskaya,41,61
Вадковские,Вадковский,Вадковская,2,vadkovsky,vadkovskaya,-,4
Ваксели,Ваксели,Ваксели,1,vakseli,vakseli,-,-
Ваксель,Ваксель,Ваксель,1,vaksel,vaksel,-,-
Валериан,Валериан,Валериан,3,valerian,valerian,0,0
Валицкие,Валицкий,Валицкая,2,valitsky,valitskaya,27,195
Валецкие,Валецкий,Валецкая,2,valetsky,valetskaya,20,103
Валуев,Валуев,Валуева,6,valuev,valueva,4496,3560
Вальднеры,Вальднер,Вальднер,2,valdner,valdner,5,5
